id,name,degree,peel,diversity,betweenness,pagerank
24,Alys Arryn,0.008264462809917356,0.0,0.2810395886048937,0.013094565771054514,0.012258885045027798
25,Alys Karstark,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0,0.008085270975013643
26,Alysane Mormont,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0,0.014253440541290201
27,Amabel,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0061159697954989425
28,Amerei Frey,0.01652892561983471,0.16666666666666666,0.4454372090086314,1.1971708043145203e-05,0.005589236903332592
29,Amory Lorch,0.15702479338842976,0.9166666666666666,0.545035214209049,0.006149574936698292,0.028530838860745072
30,Anders Yronwood,0.008264462809917356,0.08333333333333333,0.2810395886048937,8.640450152878712e-05,0.0018457636010491031
31,Andrew Estermont,0.01652892561983471,0.08333333333333333,0.4454372090086314,0.013094565771054514,0.010565774769319716
32,Andrey Dalt,0.03305785123966942,0.3333333333333333,0.3852913907240007,0.0002134087085951971,0.017420517886553043
33,Anguy,0.06611570247933884,0.4166666666666667,0.7035146921455154,0.00657145792813873,0.030427054724046845
34,Anya Waynwood,0.049586776859504134,0.25,0.32286807454662103,0.003039481339802775,0.02630028515674996
35,Archibald Yronwood,0.024793388429752067,0.25,0.22800127035195036,1.2388115279428516e-05,0.019846679802857363
36,Ardrian Celtigar,0.0,0.0,0.0,0.0,0.006139645717449913
37,Areo Hotah,0.06611570247933884,0.4166666666666667,0.6174888645683722,0.0006786969493277157,0.04646413775688622
38,Arianne Martell,0.15702479338842976,0.4166666666666667,0.8229437609260261,0.09305853821697128,0.10149577428480888
39,Armen,0.04132231404958678,0.25,0.18268203390223922,8.796602866484954e-05,0.023724936746533164
40,Arnolf Karstark,0.03305785123966942,0.25,0.6525537159669977,0.013637097554117586,0.01380458452096972
41,Aron Santagar,0.0,0.0,0.0,0.0,0.0
42,Arron,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0,0.008614427830617832
43,Arson,0.0,0.0,0.0,0.0,0.00019076028543353238
44,Arstan,0.05785123966942149,0.4166666666666667,0.4918192797544732,0.0006450928853596526,0.030853164947921563
45,Arthor Karstark,0.0,0.0,0.0,0.0,0.0017929437466013426
46,Arthur Dayne,0.03305785123966942,0.16666666666666666,0.6525537159669977,0.02757219174179087,0.023840497794150994
47,Arwyn Oakheart,0.0,0.0,0.0,0.0,0.0005787071779730045
48,Arya Stark,0.6859504132231405,1.0,0.9459217702220442,0.45410438038551193,0.5164807388060171
49,Arys Oakheart,0.06611570247933884,0.4166666666666667,0.6174888645683722,0.009219167724774805,0.027460208032997924
50,Asha Greyjoy,0.19834710743801653,0.3333333333333333,0.7337098660683374,0.17189683177595294,0.1531951657262393
51,Ashara Dayne,0.0,0.0,0.0,0.0,0.00046218781922858566
52,Aurane Waters,0.06611570247933884,0.5833333333333334,0.6174888645683722,0.00040703807346693694,0.010238060549648365
53,Axell Florent,0.0743801652892562,0.4166666666666667,0.7437542241077779,0.008866096029130185,0.03691727320009933
54,Azor Ahai,0.0,0.0,0.0,0.0,0.0011478030590587698
55,Bael the Bard,0.0,0.0,0.0,0.0,0.0010028725939731876
56,Baelor Blacktyde,0.024793388429752067,0.25,0.22800127035195036,0.0,0.00925057730494331
57,Baelor I Targaryen,0.01652892561983471,0.16666666666666666,0.0,0.0,0.002863349089377536
58,Ballabar,0.01652892561983471,0.08333333333333333,0.4454372090086314,0.013094565771054514,0.011351533521878229
59,Balman Byrch,0.01652892561983471,0.16666666666666666,0.4454372090086314,0.0,0.007088035505314497
60,Balon Greyjoy,0.09917355371900827,0.5,0.4536908735453171,0.04968639850526459,0.07730938254520275
61,Balon Swann,0.12396694214876033,0.8333333333333334,0.6252011610918771,0.01873314656774774,0.02765691548454056
62,Bannen,0.008264462809917356,0.08333333333333333,0.2810395886048937,0.0,0.0044856852698250405
63,Barbrey Dustin,0.04132231404958678,0.3333333333333333,0.5391170717417778,0.0009511313836660722,0.016143709238482854
64,Barristan Selmy,0.3305785123966942,0.9166666666666666,0.8729766146341751,0.23708967361063904,0.16509406401512688
65,Barsena,0.0,0.0,0.0,0.0,0.0005902069114920472
66,Bartimus,0.0,0.0,0.0,0.0,0.0008205116237079742
67,Bedwyck,0.03305785123966942,0.3333333333333333,0.20289037484789482,0.0,0.005142072020294324
68,Belaquo,0.024793388429752067,0.25,0.2810395886048937,6.662515780532983e-05,0.010953580733752336
69,Bellegere Otherys,0.0,0.0,0.0,0.0,0.00017269330213523287
